 INFO  Accepting connections at http://localhost:5000
 HTTP  2026-05-26 9:22:38 AM ::1 GET /
 HTTP  2026-05-26 9:22:38 AM ::1 Returned 200 in 10 ms
 HTTP  2026-05-26 9:22:38 AM ::1 GET /src/main.tsx
 HTTP  2026-05-26 9:22:38 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:22:39 AM ::1 GET /init-data.js
 HTTP  2026-05-26 9:22:39 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:22:45 AM ::1 GET /
 HTTP  2026-05-26 9:22:45 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:24:23 AM ::1 GET /
 HTTP  2026-05-26 9:24:23 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:24:49 AM ::1 GET /
 HTTP  2026-05-26 9:24:49 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:24:49 AM ::1 GET /src/main.tsx
 HTTP  2026-05-26 9:24:49 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:24:49 AM ::1 GET /init-data.js
 HTTP  2026-05-26 9:24:49 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:24:56 AM ::1 GET /
 HTTP  2026-05-26 9:24:56 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:24:57 AM ::1 GET /init-data.js
 HTTP  2026-05-26 9:24:57 AM ::1 GET /src/main.tsx
 HTTP  2026-05-26 9:24:57 AM ::1 Returned 200 in 2 ms
 HTTP  2026-05-26 9:24:57 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:25:18 AM ::1 GET /
 HTTP  2026-05-26 9:25:18 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:25:19 AM ::1 GET /src/main.tsx
 HTTP  2026-05-26 9:25:19 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:25:19 AM ::1 GET /init-data.js
 HTTP  2026-05-26 9:25:19 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:25:45 AM ::1 GET /
 HTTP  2026-05-26 9:25:45 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:25:49 AM ::1 GET /init-data.js
 HTTP  2026-05-26 9:25:49 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:25:52 AM ::1 GET /init-data.js
 HTTP  2026-05-26 9:25:52 AM ::1 Returned 200 in 2 ms
 HTTP  2026-05-26 9:26:34 AM ::1 GET /
 HTTP  2026-05-26 9:26:34 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:27:10 AM ::1 GET /
 HTTP  2026-05-26 9:27:10 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:27:10 AM ::1 GET /src/main.tsx
 HTTP  2026-05-26 9:27:10 AM ::1 Returned 200 in 1 ms
 HTTP  2026-05-26 9:27:42 AM ::1 GET /
 HTTP  2026-05-26 9:27:42 AM ::1 Returned 200 in 1 ms
